Brand in SCE,Brand in Turn14,Brand in Premier,Mayer Short,Mayer Long,Brand in Ebay,Prefix
AEM,AEM,AEM Electronic Inc.,AEP,AEM Performance Electronics,AEM,aem
AEM Induction,AEM Induction,AEM Induction Systems,AEM,Advanced Engine Management,AEM,aem
Aeromotive,Aeromotive,Aeromotive Inc.,AEO,Aeromotive,,aer
aFe,aFe,aFe,AFE,aFe Power,aFe,afe
AIRAID,Airaid,AIRAID FILTERS,AIR,Airaid,Airaid,air
AirDog,AirDog,PUREFLOW/AIRDOG,ADG,AirDog / Diesel Rx,AirDog,adg
ARP,ARP,ARP Fasteners,ARP,"ARP, Inc.",,arp
AutoMeter,AutoMeter,AUTOMETER PRODUCTS,ATM,Auto Meter,,am
Banks Power,Banks Power,BANKS,BAN,Banks Engineering,Banks Power,BAN
BBK,BBK,,BBK,BBK Performance,BBK,bbk
BD Diesel,BD Diesel,BD Diesel,BDD,BD Diesel Performance,,bdd
BMR,,,,,,
BorgWarner,BorgWarner,,,,,
Borla,Borla,,BRL,Borla Exhaust,Borla,bor
Brian Crower,Brian Crower,,,,,bc
Bully Dog,Bully Dog,BULLY DOG UNILATERAL,BUD,Bully Dog Accessories,Bully Dog,bdd
Centerforce,,CENTERFORCE CLUTCHES,CTF,Centerforce,Centerforce,cfc
Clutch Masters,Clutch Masters,,,,,cm
Cometic Gasket,Cometic Gasket,,CGS,Cometic Gaskets,,cg
COMP Cams,COMP Cams,COMP Cams,COC,Comp Cams,,cca
Competition Clutch,Competition Clutch,,,,,comp
CORSA Performance,CORSA Performance,CORSA Performance,CSR,Corsa Exhaust,,cor
DeatschWerks,DeatschWerks,,,,,dw
DiabloSport,DiabloSport,DIABLOSPORT PERFORMANCE T,DBL,Diablo Sport,DiabloSport,
Driveshaft Shop,Driveshaft Shop,Adams Driveshaft,,,,dss
Eagle,Eagle,,ESP,Eagle Specialty Products,,eag
Edge,Edge,EDGE PRODUCTS INC.,EDG,Edge Products,Edge Products,EDG
Eibach,Eibach,,EIB,Eibach,,eib
Energy Suspension,Energy Suspension,,ENG,Energy Suspension,Energy Suspension,es
Exedy,Exedy,,,,,exe
FASS Fuel Systems,FASS Fuel Systems,FASS,FSS,Fass Fuel Systems,FASS,fass
FAST,FAST,FAST,,,,fst
Flex-a-Lite,,Flex-a-Lite,FLX,Flex-A-Lite,,
Flowmaster,Flowmaster,Flowmaster,FLO,Flowmaster,Flowmaster,fm
Fluidampr,Fluidampr,FLUIDAMPER,FLU,Fluidampr,,fdr
Fox Factory Inc,FOX,FOX RACING SHOCKS,FOX,Fox Shox,Fox,FOX
Gates,Gates,,,,,gat
Goodridge,Goodridge,,,,,gr
Hawk Performance,Hawk Performance,Hawk Performance,,,,hawk
HKS,HKS,,,,,hks
Holley,,Holley,HOL,Holley,,
Hotchkis,Hotchkis,,HSS,Hotchkis Sport Suspension,,hot
Husky Liners,Husky Liners,Husky Liners,HSL,Husky Liner,,hl
Hypertech,Hypertech,HYPER TECH,HYP,Hypertech,,hyp
Injector Dynamics,Injector Dynamics,,,,Injector Dynamics,id
Injen,Injen,INJEN TECHNOLOGY,INJ,Injen Technology,Injen,inj
K&N,K&N Engineering,K&N ENGINEERING  INC.,KNN,K & N Filters,K&N,kn
Kooks Headers,Kooks Headers,Kooks Custom Headers Inc,KKS,Kooks Headers,Kooks,ksh
Kraftwerks,KraftWerks,,KRW,Kraft Werks,,krt
KW,KW,,,,,kw
MADS Electronics,Smarty,MADS ELECTRONICS,SMA,Smart Tuners,MADS Electronics,SMA
MagnaFlow,Magnaflow,MAGNAFLOW PERFORMANCE,MAG,MagnaFlow Exhaust Systems,Magnaflow,mag
Manley Performance,Manley Performance,,MPP,Manley,,man
MBRP,MBRP,MBRP INC.,MBR,"MBRP, Inc.",MBRP,mbrp
McLeod Racing,McLeod Racing,,MCL,Mcleod Industries,,mlr
Mishimoto,Mishimoto,Mishimoto,MIS,Mishimoto Cooling,Mishimoto Automotive,mm
Moroso,,,MOR,Moroso,,
Mr Gasket,,,MRG,Mr. Gasket Co.,,
MSD,,,MSD,MSD Ignition,,
NGK,NGK,,NGK,NGK Spark Plugs,,ngk
NOS,,NOS (Holley),NOS,NOS,,
QA1,,,QAP,"QA1 Precision Products, Inc",,
RaceMe,,RACEME TUNERS,,,RaceMe,RACE
ReadyLIFT,ReadyLIFT,READYLIFT SUSPENSION,,,ReadyLIFT,RSL
Rigid Industries,Rigid Industries,Rigid Industries,RIG,Rigid Industries,Rigid Industries,rig
S&B Filters,,S&B FILTERS,,,S&B Filters,SAB
SCT Performance,SCT Performance,SCT LLC,SCT,"SCT Performance, Llc",SCT Performance,sct
Sinister Diesel,Sinister Diesel,SINISTER MFG,SND,Sinister Diesel,Sinister Diesel,sin
Snow Performance,Snow Performance,SNOW PERFORMANCE INC.,SNO,Snow Performance,Snow Performance,SNO
Smittybilt,,SMITTYBILT,SMB,Smittybilt,Smittybilt,smi
South Bend Clutch,South Bend Clutch,South Bend Clutch,SBC,South Bend Clutch,South Bend Clutch,sbc
StopTech,Stoptech,,,,,st
Takeda,aFe,aFe,AFE,aFe Power,aFe,afe
Turbosmart,Turbosmart,Turbosmart,,,,ts
Walbro,Walbro,,,,,wal
Weapon R,Weapon R,,,,,wr
WeatherTech,WeatherTech,WeatherTech,WET,WeatherTech,,wt
Whiteline,Whiteline,,,,,wl
Zex,ZEX,Zex,ZEX,Zex,,zex